"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2009","2009",1,,
"10403","Start month of the academic school year (tertiary education)","AUS","Australia","2018","2018",1,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2009","2009",10,,
"10403","Start month of the academic school year (tertiary education)","AUT","Austria","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BEL","Belgium","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","CAN","Canada","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","CZE","Czechia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","DNK","Denmark","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","FIN","Finland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2009","2009",10,,
"10403","Start month of the academic school year (tertiary education)","FRA","France","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2009","2009",10,,
"10403","Start month of the academic school year (tertiary education)","DEU","Germany","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","GRC","Greece","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","HUN","Hungary","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","ISL","Iceland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","IRL","Ireland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2009","2009",11,,
"10403","Start month of the academic school year (tertiary education)","ITA","Italy","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2009","2009",4,,
"10403","Start month of the academic school year (tertiary education)","JPN","Japan","2018","2018",4,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2009","2009",3,,
"10403","Start month of the academic school year (tertiary education)","KOR","Republic of Korea","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","LUX","Luxembourg","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","MEX","Mexico","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","NLD","Netherlands","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2009","2009",1,,
"10403","Start month of the academic school year (tertiary education)","NZL","New Zealand","2018","2018",1,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","NOR","Norway","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","POL","Poland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","PRT","Portugal","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","SVK","Slovakia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","ESP","Spain","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2009","2009",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2009","2009",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2018","2018",10,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ASM","American Samoa","2009","2009",7,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2009","2009",2,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2009","2009",2,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2018","2018",4,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2009","2009",8,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2009","2009",7,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2009","2009",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2018","2018",10,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2009","2009",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2018","2018",8,,
