"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10","Official entrance age to early childhood educational development (years)","AUS","Australia","2009","2009",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","AUS","Australia","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","AUT","Austria","2009","2009",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","AUT","Austria","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","BEL","Belgium","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","CAN","Canada","2009","2009",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","CAN","Canada","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","CZE","Czechia","2009","2009",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","CZE","Czechia","2018","2018",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","DNK","Denmark","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","FIN","Finland","2018","2018",1,,
"10","Official entrance age to early childhood educational development (years)","FRA","France","2009","2009",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","FRA","France","2018","2018",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","DEU","Germany","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","GRC","Greece","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","HUN","Hungary","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","ISL","Iceland","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","IRL","Ireland","2009","2009",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","IRL","Ireland","2018","2018",,"n","Magnitude nil or negligible"
"10","Official entrance age to early childhood educational development (years)","ITA","Italy","2009","2009",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","ITA","Italy","2018","2018",,"a","Category not applicable"
"10","Official entrance age to early childhood educational development (years)","JPN","Japan","2009","2009",0.5,,
