"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"PRP_5T8","Percentage of enrolment in tertiary education in private institutions (%)","BFA","Burkina Faso","2009","2009",17.77376,,
"PRP_5T8","Percentage of enrolment in tertiary education in private institutions (%)","BFA","Burkina Faso","2018","2018",22.15332,,
"PRP_5T8","Percentage of enrolment in tertiary education in private institutions (%)","LSO","Lesotho","2018","2018",18.19698,,
"PRP_0","Percentage of enrolment in early childhood education programmes in private institutions (%)","TCA","Turks and Caicos Islands","2018","2018",49.58217,,
"PRP_4","Percentage of enrolment in post-secondary non-tertiary education in private institutions (%)","40334","Least Developed Countries","2009","2009",36.34584,"‡","UIS Estimation"
"PRP_4","Percentage of enrolment in post-secondary non-tertiary education in private institutions (%)","40334","Least Developed Countries","2018","2018",34.02867,"‡","UIS Estimation"
"PRP_02","Percentage of enrolment in pre-primary education in private institutions (%)","MMR","Myanmar","2009","2009",56.51668,,
"PRP_02","Percentage of enrolment in pre-primary education in private institutions (%)","MMR","Myanmar","2018","2018",32.57951,,
"PRP_02","Percentage of enrolment in pre-primary education in private institutions (%)","40530","Central and Eastern Europe","2009","2009",3.45491,"‡","UIS Estimation"
"PRP_02","Percentage of enrolment in pre-primary education in private institutions (%)","40530","Central and Eastern Europe","2018","2018",6.36568,,
"PRP_2T3","Percentage of enrolment in secondary education in private institutions (%)","SWE","Sweden","2009","2009",15.59297,,
"PRP_2T3","Percentage of enrolment in secondary education in private institutions (%)","SWE","Sweden","2018","2018",17.9242,,
"PRP_1","Percentage of enrolment in primary education in private institutions (%)","TLS","Timor-Leste","2009","2009",13.06816,,
"PRP_1","Percentage of enrolment in primary education in private institutions (%)","TLS","Timor-Leste","2018","2018",12.90163,,
"PRP_1","Percentage of enrolment in primary education in private institutions (%)","WSM","Samoa","2018","2018",20.07668,,
"PRP_5T8","Percentage of enrolment in tertiary education in private institutions (%)","MSR","Montserrat","2009","2009",100,,
"PRP_4","Percentage of enrolment in post-secondary non-tertiary education in private institutions (%)","EST","Estonia","2009","2009",10.24863,,
"PRP_4","Percentage of enrolment in post-secondary non-tertiary education in private institutions (%)","EST","Estonia","2018","2018",6.28793,,
"PRP_02","Percentage of enrolment in pre-primary education in private institutions (%)","CMR","Cameroon","2009","2009",64.85784,,
"PRP_0","Percentage of enrolment in early childhood education programmes in private institutions (%)","KGZ","Kyrgyzstan","2009","2009",3.64382,,
