"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2018","2018",91.71325,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2009","2009",82.53784,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2009","2009",97.76737,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2018","2018",94.61476,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PHL","Philippines","2018","2018",99.40298,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2009","2009",99.55675,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2018","2018",99.6191,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2018","2018",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2018","2018",93.97079,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2018","2018",89.25928,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2009","2009",55.56716,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2018","2018",56.63295,"‡","UIS Estimation"
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2009","2009",98.77773,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2018","2018",99.16993,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2009","2009",96.15879,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2018","2018",95.25848,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2009","2009",93.53232,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2009","2009",99.5985,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2018","2018",99.86367,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2009","2009",97.25411,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2018","2018",98.85404,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2009","2009",77.59996,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2018","2018",74.10143,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MMR","Myanmar","2009","2009",72.24024,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","BTN","Bhutan","2009","2009",86.49731,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2018","2018",99.23965,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2009","2009",96.6237,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2018","2018",96.49942,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","TUN","Tunisia","2009","2009",98.20872,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","BLR","Belarus","2018","2018",98.07696,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2009","2009",95.75243,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","MAR","Morocco","2018","2018",98.08651,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2009","2009",98.88683,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","DNK","Denmark","2018","2018",99.81032,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","ETH","Ethiopia","2009","2009",48.05121,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2009","2009",96.3008,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ARM","Armenia","2018","2018",94.96495,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","HKG","China, Hong Kong Special Administrative Region","2018","2018",98.57143,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","RUS","Russian Federation","2018","2018",99.29004,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40344","Small Island Developing States","2009","2009",62.68758,"‡","UIS Estimation"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40344","Small Island Developing States","2018","2018",66.06864,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","LIE","Liechtenstein","2009","2009",81.25,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2018","2018",99.8123,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ITA","Italy","2009","2009",99.81721,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ITA","Italy","2018","2018",99.86369,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TLS","Timor-Leste","2009","2009",75.60414,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TLS","Timor-Leste","2018","2018",96.14844,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ALB","Albania","2009","2009",95.06567,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","ALB","Albania","2018","2018",89.4172,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HUN","Hungary","2009","2009",98.12257,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","HUN","Hungary","2018","2018",98.64098,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","BGD","Bangladesh","2009","2009",72.41627,"+","National Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CMR","Cameroon","2009","2009",66.83184,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","CMR","Cameroon","2018","2018",63.66992,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40619","Eastern and South-Eastern Asia","2009","2009",92.73092,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","40619","Eastern and South-Eastern Asia","2018","2018",96.41548,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","WSM","Samoa","2018","2018",96.57551,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","KWT","Kuwait","2009","2009",96.01568,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","KWT","Kuwait","2018","2018",84.72583,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","AUT","Austria","2018","2018",99.75276,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ROU","Romania","2009","2009",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","ROU","Romania","2018","2018",94.38117,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","CHL","Chile","2018","2018",99.97106,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","GTM","Guatemala","2009","2009",72.7008,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","GTM","Guatemala","2018","2018",77.70943,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PAK","Pakistan","2009","2009",58.86066,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PAK","Pakistan","2018","2018",70.63041,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TUR","Türkiye","2009","2009",99.41929,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","TUR","Türkiye","2018","2018",99.85437,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HRV","Croatia","2009","2009",,"a","Category not applicable"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","HRV","Croatia","2018","2018",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","MLI","Mali","2009","2009",85.00916,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40030","Middle income countries","2009","2009",79.55346,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40030","Middle income countries","2018","2018",84.44165,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ARG","Argentina","2009","2009",98.23463,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","ARG","Argentina","2018","2018",97.36976,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MOZ","Mozambique","2009","2009",33.73809,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MOZ","Mozambique","2018","2018",40.75921,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MDG","Madagascar","2009","2009",35.37946,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","MDG","Madagascar","2018","2018",33.25963,,
