"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","KHM","Cambodia","2008","2008",43.83062,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2008","2008",39.68152,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2009","2009",40.40646,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","GNQ","Equatorial Guinea","2010","2010",41.38702,,
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","SYR","Syrian Arab Republic","2008","2008",88.46185,,
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","SYR","Syrian Arab Republic","2009","2009",90.49115,,
"NERT_2_CP","Total net enrolment rate, lower secondary, both sexes (%)","SYR","Syrian Arab Republic","2010","2010",91.18207,,
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2008","2008",90.87684,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2009","2009",91.15044,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2010","2010",94.39496,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2017","2017",87.19048,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2018","2018",84.67164,"+","National Estimation"
"NERT_2_F_CP","Total net enrolment rate, lower secondary, female (%)","MAC","China, Macao Special Administrative Region","2019","2019",81.97222,"+","National Estimation"
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","CYM","Cayman Islands","2008","2008",94.98607,,
"NERT_1_F_CP","Total net enrolment rate, primary, female (%)","CYM","Cayman Islands","2019","2019",95.15556,,
"NERT_3_CP","Total net enrolment rate, upper secondary, both sexes (%)","ARG","Argentina","2008","2008",84.01599,,
